id,first_name,gender,birthday,Age,abonoment_type,visit_per_week,days_per_week,attend_group_lesson,fav_group_lesson,avg_time_check_in,avg_time_check_out,avg_time_in_gym,personal_training,name_personal_trainer,marketing_channel,membership_duration_months,total_spend_amount,distance_from_gym_km,attend_special_events,monthly_visit_count,customer_satisfaction_rating,primary_fitness_goal,referral_member,visit_satisfaction_interaction,spend_duration_interaction,visit_distance_ratio,spend_per_visit
1,Fey,Female,00:00.0,27,Premium,4,"Mon, Sat, Tue, Wed",True,Kickboxen,19:31:00,21:42:00,73.49948775086752,False,,Flyer,12,1536.46,15.91,False,13,7.2,Weight Loss,False,93.60000000000001,18437.52,0.8165829145728644,118.09838585703305
2,Doralin,Female,00:00.0,47,Premium,3,"Fri, Sat, Sun",False,,19:31:00,21:43:00,70.29578513188501,True,Chantal,Walk-In,44,1605.74,2.93,False,11,8.7,General Health,True,95.69999999999999,70652.56,3.741496598639456,145.8437783832879
3,Linc,Male,00:00.0,41,Standard,1,Sun,True,"XCore, Spinning, LesMiles",8:29:00,9:55:00,75.81359646433938,False,,Referral,36,899.39,15.99,False,18,6.8,General Health,False,122.39999999999999,32378.04,1.125,49.93836757357023
4,Darren,Male,00:00.0,44,Premium,3,"Fri, Sat, Tue",False,,9:54:00,12:15:00,62.81354365970425,False,,Walk-In,4,1644.78,5.88,True,15,5.3,Wellness,True,79.5,6579.12,2.5466893039049237,109.57894736842105
5,Petr,Male,00:00.0,44,Standard,2,"Thu, Tue",True,"Running, BodyBalance",8:29:00,10:39:00,54.58139461267803,False,,Walk-In,5,284.41,17.6,False,1,5.4,Muscle Gain,False,5.4,1422.0500000000002,0.056785917092561033,281.59405940594064
6,Alvera,Female,00:00.0,15,Standard,1,Tue,False,,17:19:00,18:19:00,55.22815649638771,False,,Social Media,37,1111.75,18.91,True,7,5.6,Weight Loss,True,39.199999999999996,41134.75,0.36997885835095135,158.59486447931528
7,Anson,Male,00:00.0,30,Standard,3,"Mon, Sat, Sun",True,"LesMiles, XCore",19:46:00,22:41:00,83.36327301447136,False,,Referral,8,61.23,3.4,False,13,9.3,Weight Loss,True,120.9,489.84,3.812316715542522,4.7063797079169865
8,Uriah,Male,00:00.0,20,Standard,2,"Sat, Sun",True,"Yoga, BodyPump, Running",17:45:00,18:53:00,70.91470229596908,False,,Referral,42,682.94,9.52,False,12,7.4,Weight Loss,False,88.80000000000001,28683.480000000003,1.2591815320041972,56.86427976686095
9,Borden,Male,00:00.0,46,Standard,3,"Mon, Tue, Wed",True,BodyPump,9:45:00,12:33:00,84.84916570638661,False,,Referral,28,764.6,19.63,False,18,8.6,Weight Loss,True,154.79999999999998,21408.8,0.9164969450101833,42.45419211549139
10,Abbye,Female,00:00.0,24,Standard,1,Mon,False,,13:05:00,13:51:00,89.07167942313725,True,Jeffrey,Walk-In,31,822.54,9.93,False,19,7.0,General Health,True,133.0,25498.739999999998,1.9114688128772637,43.26880589163598
